seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_likelihood
0.511243432451486957E+00,0.516457314170199400E+01,0.148554812727441488E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.842836917959615906E+00,0.550613768255517999E+00,0.550227748037051570E+05,0.551768853558664923E+05,0.553302421637636216E+05,0.557901244429103099E+05,0.559435814440447939E+05,0.560969341399583282E+05,0.564037173885704251E+05,0.499613289852334583E+04
0.778645937958722834E+00,0.193718608792733904E+01,0.176773332475007683E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.711686680104735153E-01,0.441580084754642777E-01,0.550242424423807388E+05,0.551769379346216592E+05,0.553302645519081998E+05,0.557901263542566521E+05,0.559435600333881594E+05,0.560969854502857270E+05,0.564036584104744616E+05,0.499614542369774153E+04
0.179180358541468979E-01,0.142100833979684467E+04,0.412632923967718411E-02,0.153356672000000003E+03,0.556368870880000031E+05,0.329754758779865320E+00,0.644241069778373587E+00,0.550234907204443225E+05,0.551768057599095191E+05,0.553302479199475056E+05,0.557903186544024211E+05,0.559435890428665443E+05,0.560969613966838442E+05,0.564037335950379493E+05,0.499618805179345509E+04
0.666313592947108679E+00,0.684125146216507929E+01,0.165283702425376733E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.371399433837756449E-01,0.988868782409039193E+00,0.550235551139922027E+05,0.551768567801642712E+05,0.553303054616763766E+05,0.557902965421091285E+05,0.559435040214166947E+05,0.560969390621759303E+05,0.564036701599542284E+05,0.499619938767149597E+04
0.544806196517924612E+00,0.469897866742453374E+01,0.151884286307495064E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.958929586780077003E+00,0.380954801761272333E+00,0.550234687762596950E+05,0.551768888387878324E+05,0.553302149797740785E+05,0.557902862911911070E+05,0.559436720807335296E+05,0.560969234798899124E+05,0.564036966117159973E+05,0.499621433788652303E+04
0.878666030859164504E+00,0.289024120465648737E+01,0.186767507848637004E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.555998018693641405E-01,0.110712459624603590E+00,0.550242053161139193E+05,0.551767755777027560E+05,0.553302813130493596E+05,0.557901932850926314E+05,0.559436302106874500E+05,0.560969868263443859E+05,0.564035823189065122E+05,0.499623321056450459E+04
0.728332835985445959E+00,0.582265274749327855E+01,0.170495585880177880E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.919845257565146124E+00,0.792337175394770693E-01,0.550236512969601463E+05,0.551767669808372011E+05,0.553301851065388910E+05,0.557902848881229147E+05,0.559435386414909954E+05,0.560969844220742598E+05,0.564036336648402284E+05,0.499624146028852556E+04
0.210125011382121148E-01,0.680331750479143921E+03,0.505163083642999222E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.840549529699984976E+00,0.275206845370227660E+00,0.550241898398114281E+05,0.551768219865558131E+05,0.553302007378768976E+05,0.557901954145551936E+05,0.559434718824942101E+05,0.560970151262957734E+05,0.564036673420341904E+05,0.499629605432250355E+04
0.875133947272756646E-01,0.316301245326056124E+01,0.106505968355253589E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.216112624918397639E+00,0.409215273162119808E+00,0.550242035107876218E+05,0.551768208014815318E+05,0.553302901150824910E+05,0.557901696114515289E+05,0.559434655360884353E+05,0.560970223830725663E+05,0.564036276311327747E+05,0.499630741351698180E+04
0.186591015969089294E-01,0.682481124883277289E+03,0.649955208390025074E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.621167712390157355E-02,0.387728631894099562E+00,0.550234141120536151E+05,0.551768506591313489E+05,0.553302042284396739E+05,0.557902122495315998E+05,0.559437280833499535E+05,0.560970905583320200E+05,0.564035917317431886E+05,0.499635925025572396E+04
0.963223373453668819E+00,0.754893053171244865E+01,0.194750445790253934E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.176278435387250687E+00,0.156605083539542306E+00,0.550243908157108090E+05,0.551768669813239030E+05,0.553301984864960978E+05,0.557901613264258194E+05,0.559436266854540008E+05,0.560969922333608120E+05,0.564036458956696370E+05,0.499636288653466454E+04
0.188787562817252612E-01,0.546562288811957615E+03,0.519463141249304039E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.980192274116705509E+00,0.485139845360669952E+00,0.550240987893536731E+05,0.551768636267687980E+05,0.553302149259257931E+05,0.557901359603780365E+05,0.559435377396969707E+05,0.560970985260402231E+05,0.564036693214378756E+05,0.499639951385779477E+04
0.214854534568531194E-01,0.233743368679995172E+03,0.812169647161374852E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.583585415587306588E+00,0.431865752907685807E+00,0.550229255934300018E+05,0.551768739468720087E+05,0.553302215459211802E+05,0.557902216963468309E+05,0.559436774531060801E+05,0.560970279219965014E+05,0.564037652035831125E+05,0.499641168605157600E+04
0.283917470240713177E+00,0.556820273886243822E+01,0.126996654545952992E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.140431686006573866E-01,0.518318538359614389E+00,0.550241338210603426E+05,0.551767871937461823E+05,0.553302323082687726E+05,0.557902158442652653E+05,0.559435851213657734E+05,0.560969746150974097E+05,0.564036745003589967E+05,0.499642536805322561E+04
