seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_likelihood
0.332303643226623535E+00,0.576335261981025493E+01,0.182904505729675293E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.366092085838317871E+00,0.784416139125823975E+00,0.558835675668738404E+05,0.563670089735494257E+05,0.175442179340950679E+04
0.432983636856079102E-01,0.314400949915647565E+06,0.192447638511657715E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.881784737110137939E+00,0.739681720733642578E-01,0.558828709753773728E+05,0.563666801968322397E+05,0.175442179340950679E+04
0.143072009086608887E-01,0.259961768036144214E+01,0.125785088539123535E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.750353753566741943E+00,0.210669755935668945E+00,0.558833724035046616E+05,0.563672956436381937E+05,0.175442179340950679E+04
0.484658300876617432E+00,0.737599714162447412E+03,0.160381329059600830E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.506067872047424316E-01,0.982801735401153564E+00,0.558840785931370774E+05,0.563659512747035624E+05,0.175442179340950679E+04
0.315496981143951416E+00,0.272540920765031296E+05,0.719181180000305176E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.672263503074645996E+00,0.753157556056976318E+00,0.558838844517491380E+05,0.563667402466045023E+05,0.175442179340950679E+04
0.419233918190002441E+00,0.869282512684423855E+05,0.167343151569366455E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.388921380043029785E+00,0.516089022159576416E+00,0.558829092313073197E+05,0.563669662504897715E+05,0.175442179340950679E+04
0.152443230152130127E+00,0.150871050436026944E+05,0.154268229007720947E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.493393421173095703E+00,0.582148432731628418E-01,0.558834192606232682E+05,0.563665879451738001E+05,0.175442179340950679E+04
0.823837518692016602E+00,0.218291258902046543E+02,0.193839776515960693E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.358937978744506836E+00,0.771094560623168945E+00,0.558824195381424943E+05,0.563668819998012186E+05,0.175442179340950679E+04
0.182343125343322754E+00,0.117380236252081474E+03,0.190393137931823730E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.216703236103057861E+00,0.879843294620513916E+00,0.558834933133147279E+05,0.563666799708114268E+05,0.175442179340950679E+04
0.890100359916687012E+00,0.494842993378346146E+06,0.424807429313659668E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.726689696311950684E-01,0.117122828960418701E+00,0.558836935659668961E+05,0.563666344567046763E+05,0.175442179340950679E+04
0.714484155178070068E+00,0.103779623108943781E+03,0.181404244899749756E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.399470686912536621E+00,0.709811329841613770E+00,0.558836282783768693E+05,0.563665289540992380E+05,0.175442179340950679E+04
0.270118296146392822E+00,0.172222758428653555E+01,0.134208047389984131E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.613647460937500000E+00,0.378665983676910400E+00,0.558825644843600312E+05,0.563655062593923212E+05,0.175442179340950679E+04
0.387210130691528320E+00,0.402562433981343659E+02,0.155957257747650146E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.795058727264404297E+00,0.512413501739501953E+00,0.558833801049016038E+05,0.563660020200715662E+05,0.175442179340950679E+04
0.549542188644409180E+00,0.431691916815854171E+01,0.182495880126953125E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.615508556365966797E-01,0.380839765071868896E+00,0.558829680521510163E+05,0.563660505411134363E+05,0.175442179340950679E+04
