seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.659950077533721924E+00,0.163098477977565585E+04,0.188335585594177246E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.183853626251220703E+00,0.969645380973815918E+00,0.550435114448947934E+05,0.552784086744240267E+05,0.557519454838223901E+05,0.287651566165886425E+04
0.551585078239440918E+00,0.319284918344539559E+01,0.195652043819427490E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.699704408645629883E+00,0.889307856559753418E+00,0.550431906299276379E+05,0.552799477880648119E+05,0.557514714465327706E+05,0.287651566165886425E+04
0.158933997154235840E+00,0.909001582073970712E+04,0.194012010097503662E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.487644970417022705E+00,0.481194972991943359E+00,0.550433108607215909E+05,0.552794899267605288E+05,0.557517864060588327E+05,0.287651566165886425E+04
0.403306007385253906E+00,0.161591801602949650E+06,0.168975067138671875E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.910156428813934326E+00,0.661743879318237305E+00,0.550432086323184994E+05,0.552789177010706408E+05,0.557517524249740090E+05,0.287651566165886425E+04
0.184901297092437744E+00,0.106254662166390279E+02,0.189383018016815186E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.604779660701751709E+00,0.372364461421966553E+00,0.550431559079570798E+05,0.552795586237362368E+05,0.557515858653970208E+05,0.287651566165886425E+04
0.816956579685211182E+00,0.482255566598478763E+06,0.194109797477722168E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.465593636035919189E+00,0.291870057582855225E+00,0.550422120347900418E+05,0.552790470042875750E+05,0.557519386029429879E+05,0.287651566165886425E+04
0.583748817443847656E+00,0.522377613719079236E+05,0.192187142372131348E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.152546048164367676E+00,0.666304290294647217E+00,0.550439803858680752E+05,0.552783335227421267E+05,0.557504126913733926E+05,0.287651566165886425E+04
0.603424429893493652E+00,0.747156426371161942E+06,0.165882539749145508E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.640778779983520508E+00,0.388829410076141357E+00,0.550421024112386731E+05,0.552790465548685534E+05,0.557513233324475732E+05,0.287651566165886425E+04
0.405379235744476318E+00,0.275423360226756413E+05,0.151872813701629639E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.446896374225616455E+00,0.102044939994812012E-01,0.550421699782295254E+05,0.552799489116123659E+05,0.557509362232871499E+05,0.287651566165886425E+04
0.742298364639282227E-01,0.177711172460978983E+01,0.115925955772399902E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.932508826255798340E+00,0.115629971027374268E+00,0.550421064439697293E+05,0.552788229605606539E+05,0.557518635333962884E+05,0.287651566165886425E+04
0.228317499160766602E+00,0.150412070989662716E+05,0.123782920837402344E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.735188007354736328E+00,0.617130279541015625E+00,0.550435031003637341E+05,0.552799183542183382E+05,0.557512796685882058E+05,0.287651566165886425E+04
0.598863542079925537E+00,0.451928601868878650E+04,0.181635975837707520E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.920455932617187500E+00,0.608654022216796875E+00,0.550420461047573117E+05,0.552798147991350634E+05,0.557514996214099374E+05,0.287651566165886425E+04
0.591098248958587646E+00,0.444665321735384040E+02,0.185965168476104736E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.663831174373626709E+00,0.432291030883789062E+00,0.550426208245439557E+05,0.552794395467689974E+05,0.557520991543717828E+05,0.287651566165886425E+04
0.352137446403503418E+00,0.306997903948557105E+05,0.175731813907623291E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.204720735549926758E+00,0.470058560371398926E+00,0.550421453528089551E+05,0.552790939006260378E+05,0.557522374866195169E+05,0.287651566165886425E+04
0.461233556270599365E+00,0.795846945191004362E+01,0.174513173103332520E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.226405858993530273E+00,0.283509731292724609E+00,0.550428408794088391E+05,0.552798864093473894E+05,0.557516778390593972E+05,0.287651566165886425E+04
0.592882752418518066E+00,0.632287571450085961E+06,0.160886728763580322E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.956716060638427734E+00,0.291372001171112061E+00,0.550431245076341656E+05,0.552790639126947863E+05,0.557510186310000863E+05,0.287651566165886425E+04
0.410895764827728271E+00,0.516919333001452498E+06,0.169675886631011963E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.499007403850555420E+00,0.831955730915069580E+00,0.550428178146762875E+05,0.552781474613598330E+05,0.557505170537419763E+05,0.287651566165886425E+04
0.271556794643402100E+00,0.203364481405478262E+06,0.182078313827514648E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.281884074211120605E-01,0.751427412033081055E-01,0.550423436157388714E+05,0.552783136135986788E+05,0.557520573833175149E+05,0.287651566165886425E+04
0.286662518978118896E+00,0.142644343870583702E+04,0.195159482955932617E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.277286171913146973E+00,0.703380227088928223E+00,0.550438328764123944E+05,0.552789724050215227E+05,0.557511044081635919E+05,0.287651566165886425E+04
0.378076016902923584E+00,0.388964771216996480E+06,0.161663758754730225E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.864900887012481689E+00,0.615100800991058350E+00,0.550427865296287564E+05,0.552790885620764238E+05,0.557507245983071771E+05,0.287651566165886425E+04
0.140809297561645508E+00,0.339919907786085969E+06,0.197104239463806152E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.670332789421081543E+00,0.740974187850952148E+00,0.550420894719047574E+05,0.552788404187611086E+05,0.557506472947783914E+05,0.287651566165886425E+04
0.245707750320434570E+00,0.354571704289361332E+04,0.151737046241760254E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.705624759197235107E+00,0.868215262889862061E+00,0.550430775892419842E+05,0.552796921460083468E+05,0.557515902332253900E+05,0.287651566165886425E+04
0.160555660724639893E+00,0.566354032965210499E+06,0.149327623844146729E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.269317209720611572E+00,0.323929965496063232E+00,0.550436235685033826E+05,0.552794737740210039E+05,0.557506099789329019E+05,0.287651566165886425E+04
0.303836524486541748E+00,0.133435003274660208E+06,0.156399762630462646E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.678960680961608887E-01,0.552292704582214355E+00,0.550438442374153165E+05,0.552782414994886858E+05,0.557504366640038934E+05,0.287651566165886425E+04
0.746429741382598877E+00,0.287501883769147106E+02,0.180369913578033447E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.716685771942138672E+00,0.806960165500640869E+00,0.550426909364147214E+05,0.552791881073168261E+05,0.557516850403733697E+05,0.287651566165886425E+04
0.521802365779876709E+00,0.138471425690883393E+03,0.162178659439086914E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.748675048351287842E+00,0.767189204692840576E+00,0.550421337039155987E+05,0.552791005178144915E+05,0.557519013276286569E+05,0.287651566165886425E+04
0.417751133441925049E+00,0.877940801326444920E+01,0.186621689796447754E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.264128088951110840E+00,0.753502607345581055E+00,0.550428398810310391E+05,0.552795507498434526E+05,0.557519008751101937E+05,0.287651566165886425E+04
0.839373469352722168E-01,0.604583916587372006E+01,0.167016708850860596E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.792856752872467041E+00,0.156421005725860596E+00,0.550425147545022992E+05,0.552797598652294619E+05,0.557516700238175836E+05,0.287651566165886425E+04
0.142422735691070557E+00,0.473932270178921669E+03,0.151526510715484619E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.765190482139587402E+00,0.273810267448425293E+00,0.550431704773588208E+05,0.552796249099424822E+05,0.557503254043050256E+05,0.287651566165886425E+04
0.338277220726013184E+00,0.820809298364251503E+06,0.148249650001525879E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.604183733463287354E+00,0.793446660041809082E+00,0.550430726059360532E+05,0.552794710097959978E+05,0.557515197740979638E+05,0.287651566165886425E+04
0.565422713756561279E+00,0.320452577536681383E+04,0.162910127639770508E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.718696117401123047E+00,0.769171535968780518E+00,0.550423097316904095E+05,0.552790137915066225E+05,0.557508384871669259E+05,0.287651566165886425E+04
0.275233983993530273E+00,0.249389202508574570E+02,0.150014066696166992E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.944837272167205811E+00,0.402886271476745605E-01,0.550429102294130353E+05,0.552786403040340883E+05,0.557522732538171258E+05,0.287651566165886425E+04
