seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.145551836749823731E-01,0.292454579970645796E+03,0.342609445374849386E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.292604832628251710E+00,0.311866866174721202E+00,0.550904104770271515E+05,0.553758577531507981E+05,0.559449997427646158E+05,0.562297664393905652E+05,0.383058199824609846E+04
0.750628842659021189E+00,0.303750647404041940E+01,0.173708955440720270E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.494168920234623499E+00,0.364300165898569783E+00,0.550908500776198562E+05,0.553761297582873085E+05,0.559449426896438526E+05,0.562297697039743507E+05,0.383060573035798870E+04
0.150763260074006158E-01,0.992259441030270182E+02,0.798508021535390800E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.331072150037081070E+00,0.660812234300761081E+00,0.550907852527055365E+05,0.553758963012646927E+05,0.559447796941281122E+05,0.562297737533961626E+05,0.383060961834168165E+04
0.160633565529953379E-01,0.756147742361540764E+02,0.845105076467707939E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.284074255589260360E+00,0.811125195279451927E+00,0.550908753812507930E+05,0.553759228081339097E+05,0.559449007045051549E+05,0.562297169184208542E+05,0.383061006432139720E+04
0.141028515382392479E-01,0.690608425775043543E+03,0.463788622994084854E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.946355330215408186E+00,0.348656149628915335E+00,0.550906042789623898E+05,0.553760172544920497E+05,0.559449783617280991E+05,0.562296803640560320E+05,0.383061597306772592E+04
0.930463388983873929E+00,0.102149789152571246E+01,0.192108439871185266E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.157353490412896646E+00,0.364883943413360723E+00,0.550905952971586084E+05,0.553759698205490204E+05,0.559448837974779308E+05,0.562297555080628445E+05,0.383064417206926146E+04
0.151195322043065072E-01,0.392499597743767140E+03,0.378290235080189774E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.462440502612964488E+00,0.282476007524240291E+00,0.550905029727251313E+05,0.553761479269971824E+05,0.559448936959717830E+05,0.562297255440145163E+05,0.383064482427798021E+04
0.415612556735075300E+00,0.297305772200936369E+01,0.139932818206584364E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.677610024586552173E+00,0.507311086087159691E+00,0.550907682551776015E+05,0.553760940956183404E+05,0.559449904987730697E+05,0.562297153298866760E+05,0.383067844330209527E+04
0.562513796164299196E+00,0.405094205871942403E+01,0.153688572512319954E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.965018799874555966E+00,0.549701957671808072E+00,0.550904558690768608E+05,0.553760598245950314E+05,0.559449932798554801E+05,0.562297443809302276E+05,0.383069197683498396E+04
0.856561417312004414E+00,0.122383402618161119E+01,0.184637805202280503E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.210857366920325251E+00,0.137022232056189630E+00,0.550905308058019364E+05,0.553759999864024285E+05,0.559449994327371096E+05,0.562297829839315527E+05,0.383069325558514765E+04
