seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.826845049858093262E+00,0.664780767817815331E+03,0.189142870903015137E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.722324609756469727E+00,0.168126463890075684E+00,0.551951773589567601E+05,0.554864539582096841E+05,0.557776512903184121E+05,0.560695042663671120E+05,0.563599299944147133E+05,0.969953511335038638E+04
0.750787258148193359E-01,0.848441005032783124E+02,0.132634341716766357E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.142332613468170166E+00,0.696023702621459961E-01,0.551949161109642446E+05,0.554872617900931145E+05,0.557779317579478447E+05,0.560687642364360436E+05,0.563607774116500877E+05,0.969953511335038638E+04
0.382556319236755371E-01,0.310330533273144482E+01,0.151858055591583252E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.741729378700256348E+00,0.808774292469024658E+00,0.551961644799427449E+05,0.554860606986843850E+05,0.557774559765071099E+05,0.560688056675054177E+05,0.563606740736469292E+05,0.969953511335038638E+04
0.477337419986724854E+00,0.202373505724998438E+03,0.197463572025299072E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.532406568527221680E-01,0.898451983928680420E+00,0.551948545715526998E+05,0.554873575883471276E+05,0.557782759710759346E+05,0.560685006946183785E+05,0.563611009631856941E+05,0.969953511335038638E+04
0.883759021759033203E+00,0.114004428153279339E+06,0.194927787780761719E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.169019162654876709E+00,0.202861666679382324E+00,0.551958277271704137E+05,0.554856626518332268E+05,0.557775558341950600E+05,0.560688819761134728E+05,0.563595318641170525E+05,0.969953511335038638E+04
0.285519361495971680E+00,0.105728360738559149E+05,0.159888136386871338E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.402180552482604980E+00,0.528595209121704102E+00,0.551951625779585302E+05,0.554874760901295449E+05,0.557775924461096947E+05,0.560689206641770943E+05,0.563608735502466225E+05,0.969953511335038638E+04
0.500854134559631348E+00,0.111168077670754286E+03,0.178383457660675049E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.781532526016235352E+00,0.717228710651397705E+00,0.551956798309997976E+05,0.554864892926775719E+05,0.557788270511836236E+05,0.560698994500495537E+05,0.563598865285619759E+05,0.969953511335038638E+04
0.134582817554473877E+00,0.217201491161670532E+03,0.134620070457458496E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.412641763687133789E-01,0.104407906532287598E+00,0.551953216151909292E+05,0.554867782077156808E+05,0.557786861255377953E+05,0.560695138909675225E+05,0.563600936066612267E+05,0.969953511335038638E+04
0.412326335906982422E+00,0.226288714447025896E+02,0.165767061710357666E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.598220229148864746E+00,0.910757184028625488E+00,0.551947953301386297E+05,0.554866023878418710E+05,0.557771364701003258E+05,0.560683581993438347E+05,0.563611621369823479E+05,0.969953511335038638E+04
0.159752547740936279E+00,0.168160358374015684E+01,0.140763711929321289E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.398451983928680420E+00,0.741678953170776367E+00,0.551954426097588002E+05,0.554864505988919045E+05,0.557785447917193596E+05,0.560690090761043175E+05,0.563596091699108147E+05,0.969953511335038638E+04
